PID,Lot Area,Lot Config,Neighborhood,Bldg Type,Year Built,Central Air,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Cars,SalePrice
526301100,31770,Corner,NAmes,1Fam,1960,Y,1656,1,0,3,7,2,Gd,2,215000
526350040,11622,Inside,NAmes,1Fam,1961,Y,896,1,0,2,5,0,,1,105000
526351010,14267,Corner,NAmes,1Fam,1958,Y,1329,1,1,3,6,0,,1,172000
526353030,11160,Corner,NAmes,1Fam,1968,Y,2110,2,1,3,8,2,TA,2,244000
527105010,13830,Inside,Gilbert,1Fam,1997,Y,1629,2,1,3,6,1,TA,2,189900
527105030,9978,Inside,Gilbert,1Fam,1998,Y,1604,2,1,3,7,1,Gd,2,195500
527127150,4920,Inside,StoneBr,TwnhsE,2001,Y,1338,2,0,2,6,0,,2,213500
527145080,5005,Inside,StoneBr,TwnhsE,1992,Y,1280,2,0,2,5,0,,2,191500
527146030,5389,Inside,StoneBr,TwnhsE,1995,Y,1616,2,0,2,5,1,TA,2,236500
527162130,7500,Inside,Gilbert,1Fam,1999,Y,1804,2,1,3,7,1,TA,2,189000
527163010,10000,Corner,Gilbert,1Fam,1993,Y,1655,2,1,3,7,1,TA,2,175900
527165230,7980,Inside,Gilbert,1Fam,1992,Y,1187,2,0,3,6,0,,2,185000
527166040,8402,Inside,Gilbert,1Fam,1998,Y,1465,2,1,3,7,1,Gd,2,180400
527180040,10176,Inside,Gilbert,1Fam,1990,Y,1341,1,1,2,5,1,Po,2,171500
527182190,6820,Corner,StoneBr,TwnhsE,1985,Y,1502,1,1,1,4,0,,2,212000
527216070,53504,CulDSac,StoneBr,1Fam,2003,Y,3279,3,1,4,12,1,Gd,3,538000
527225035,12134,Inside,Gilbert,1Fam,1988,Y,1752,2,0,4,8,0,,2,164000
527258010,11394,Corner,StoneBr,1Fam,2010,Y,1856,1,1,1,8,1,Ex,3,394432
527276150,19138,Corner,Gilbert,1Fam,1951,Y,864,1,0,2,4,0,,2,141000
527302110,13175,Inside,NWAmes,1Fam,1978,Y,2073,2,0,3,7,2,TA,2,210000
527358140,11751,Inside,NWAmes,1Fam,1977,Y,1844,2,0,3,7,1,TA,2,190000
527358200,10625,Inside,NWAmes,1Fam,1974,Y,1173,2,0,3,6,2,TA,2,170000
527368020,7500,Inside,Somerst,1Fam,2000,Y,1674,2,1,3,7,0,,2,216000
527402200,11241,CulDSac,NAmes,1Fam,1970,Y,1004,1,0,2,5,1,TA,2,149000
527402250,12537,CulDSac,NAmes,1Fam,1971,Y,1078,1,1,3,6,1,Fa,2,149900
527403020,8450,Inside,NAmes,1Fam,1968,Y,1056,1,0,3,6,1,Fa,1,142000
527404120,8400,Corner,NAmes,1Fam,1970,Y,882,1,0,2,4,0,,2,126000
527425090,10500,FR2,NAmes,1Fam,1971,Y,864,1,0,3,5,1,Po,0,115000
527427230,5858,FR2,NAmes,TwnhsE,1999,Y,1337,2,0,2,5,1,Fa,2,184000
527451180,1680,Inside,BrDale,Twnhs,1971,Y,987,1,1,2,5,0,,1,96000
527451330,1680,Inside,BrDale,Twnhs,1971,Y,1092,1,1,3,6,0,,1,105500
527451410,1680,Inside,BrDale,Twnhs,1971,Y,1092,1,1,3,6,0,,1,88000
527452190,4043,Inside,NPkVill,TwnhsE,1977,Y,1069,2,0,2,4,1,Fa,2,127500
527453130,2280,FR2,NPkVill,Twnhs,1975,Y,1456,2,1,3,6,1,TA,2,149900
527453150,2280,FR2,NPkVill,Twnhs,1975,Y,836,1,0,2,4,0,,1,120000
527454200,2280,Inside,NPkVill,Twnhs,1978,Y,1456,2,1,3,7,1,TA,2,146000
528108120,12858,Inside,NridgHt,1Fam,2009,Y,2334,2,1,3,10,1,Gd,3,376162
528112020,11478,Inside,NridgHt,1Fam,2007,Y,1704,2,0,3,7,1,Gd,3,306000
528120060,10159,Inside,NridgHt,1Fam,2009,Y,1940,2,1,3,8,1,Gd,3,395192
528120090,12883,Corner,NridgHt,1Fam,2009,Y,1544,2,0,3,7,0,,3,290941
528120100,12182,Corner,NridgHt,1Fam,2005,Y,1541,2,0,3,7,1,Gd,2,220000
528120120,11520,Inside,NridgHt,1Fam,2005,Y,1698,2,0,3,7,1,Gd,3,275000
528138020,14122,Inside,NridgHt,1Fam,2005,Y,1822,2,0,3,8,1,Gd,3,259000
528138060,10171,Inside,NridgHt,1Fam,2004,Y,1535,2,0,3,7,0,,2,214000
528150070,12919,Inside,NridgHt,1Fam,2009,Y,2364,2,1,2,11,2,Gd,3,611657
528175010,6371,Inside,NridgHt,TwnhsE,2009,Y,1358,2,0,2,6,1,Gd,2,224000
528176010,14300,Inside,NridgHt,1Fam,2003,Y,2696,2,1,3,10,2,Gd,3,500000
528176070,13650,Corner,NridgHt,1Fam,2002,Y,2250,2,1,3,7,1,Ex,3,320000
528180070,7658,Inside,NridgHt,TwnhsE,2005,Y,1752,2,0,2,6,1,Gd,2,319900
528181050,7132,Inside,NridgHt,TwnhsE,2006,Y,1370,2,0,2,6,1,Gd,2,205000
528188120,2628,Inside,NridgHt,Twnhs,2003,Y,1626,2,1,2,6,0,,2,175500
528218150,18494,Corner,Gilbert,1Fam,2005,Y,1324,2,0,3,6,0,,2,199500
528228285,3203,Inside,Blmngtn,TwnhsE,2006,Y,1145,2,0,2,6,0,,2,160000
528228440,3182,Inside,Blmngtn,TwnhsE,2004,Y,1269,2,0,2,6,1,TA,2,192000
528231020,13300,Inside,Gilbert,1Fam,2004,Y,1374,2,1,3,7,1,Gd,2,184500
528240070,7851,Inside,Gilbert,1Fam,2002,Y,1960,2,1,4,8,2,TA,2,216500
528240130,8577,Inside,Gilbert,1Fam,2004,Y,1733,2,1,3,7,1,Gd,2,185088
528250100,7750,Inside,Gilbert,1Fam,2000,Y,1430,2,1,3,7,1,TA,2,180000
528292020,9505,CulDSac,Gilbert,1Fam,2001,Y,2035,2,1,3,8,1,Gd,2,222500
528328100,14774,Corner,NoRidge,1Fam,1999,Y,2599,2,1,4,10,1,TA,3,333168
528344070,17433,CulDSac,NoRidge,1Fam,1998,Y,2475,2,1,4,7,1,TA,3,355000
528358010,10593,Inside,NoRidge,1Fam,1996,Y,1720,2,0,3,7,1,TA,2,260400
528363130,12256,Corner,NoRidge,1Fam,1994,Y,2622,2,1,3,9,2,TA,2,325000
528382020,11764,CulDSac,NoRidge,1Fam,1999,Y,2270,2,1,4,9,1,Gd,3,290000
528382030,16770,CulDSac,NoRidge,1Fam,1998,Y,1839,2,1,4,7,0,,2,221000
528386040,14720,CulDSac,NoRidge,1Fam,1995,Y,3238,2,1,4,9,1,Ex,3,410000
528445060,8987,Inside,Somerst,1Fam,2005,Y,1595,2,0,2,6,1,Gd,3,221500
528456160,9215,Inside,Somerst,1Fam,2009,Y,1218,2,0,2,4,0,,2,204500
528458070,8640,Inside,Somerst,1Fam,2009,Y,1547,2,1,3,7,0,,2,215200
528458110,9000,Inside,Somerst,1Fam,2008,Y,1566,2,0,3,7,0,,2,262500
528477080,12552,Corner,Somerst,1Fam,2004,Y,1947,2,1,3,8,1,Gd,2,254900
528480090,10440,Corner,Somerst,1Fam,2005,Y,1468,2,0,2,6,1,Gd,2,271500
531367050,10142,Inside,SawyerW,1Fam,2004,Y,2084,2,1,4,8,0,,2,233000
531369060,11920,Inside,SawyerW,1Fam,2004,Y,1659,2,1,3,8,0,,2,181000
531380080,8880,Inside,SawyerW,1Fam,1994,Y,2110,2,1,3,8,2,Fa,2,205000
531451110,8012,Inside,SawyerW,TwnhsE,1980,Y,923,2,0,2,5,1,TA,1,143000
531451280,11218,Inside,SawyerW,1Fam,1992,Y,1845,2,1,3,8,1,TA,2,189000
531452020,7892,Inside,SawyerW,TwnhsE,1979,Y,918,2,0,2,5,1,TA,1,99500
531452050,7175,Inside,SawyerW,TwnhsE,1984,Y,752,1,0,2,4,0,,1,125000
531452180,9453,CulDSac,SawyerW,1Fam,1993,Y,1744,2,1,3,7,0,,2,194500
531453010,9672,Corner,SawyerW,1Fam,1984,Y,1097,2,0,3,6,0,,2,152000
531453040,8400,Inside,SawyerW,1Fam,1980,Y,1564,2,1,3,7,1,TA,2,171000
531477050,9800,Corner,SawyerW,1Fam,1920,N,1012,1,0,2,5,0,,1,67500
