MONTH,YEAR,AIRLINE_CODE,FL_NUMBER,ORIGIN,DEST,SCHEDULED_DEPARTURE,DEP_DELAY,SCHEDULED_ARRIVAL_TIME,ARR_DELAY,CANCELLED,DISTANCE
1,19,UA,1562,FLL,EWR,1155,-4,1501,-14,0,1065
11,22,DL,1149,MSP,SEA,2120,-6,2315,-5,0,1399
7,22,UA,459,DEN,MSP,954,6,1252,0,0,680
3,23,DL,2295,MSP,SFO,1609,-1,1829,24,0,1589
2,20,NK,407,MCO,DFW,1840,-2,2041,-1,0,985
7,19,WN,665,DAL,OKC,1010,147,1110,141,0,181
6,23,AA,2134,DCA,BOS,1010,-9,1159,-29,0,399
7,19,YX,4464,HSV,DCA,1643,-6,1945,23,0,613
2,23,NK,590,IAH,LAX,530,-3,717,-11,0,1379
8,20,AS,223,SEA,FAI,2125,-9,2355,1,0,1533
6,21,DL,2820,ATL,BDL,1850,69,2112,60,0,859
7,20,AA,2107,RDU,DFW,1207,-6,1358,-1,0,1061
8,21,WN,430,MDW,BNA,820,6,940,1,0,395
11,19,DL,1065,BDL,ATL,600,-5,840,-32,0,859
4,20,WN,687,SJC,LAX,2155,,2315,,1,308
5,22,WN,1011,BWI,BDL,1735,3,1840,6,0,283
7,20,DL,1225,STT,ATL,1615,-2,1957,-9,0,1599
12,21,WN,2516,DAL,MSY,1435,-7,1600,-24,0,436
3,19,NK,906,DEN,IAH,1530,-4,1858,-13,0,862
3,19,UA,1157,SRQ,ORD,1615,-4,1815,35,0,1050
5,22,B6,1273,JFK,CHS,803,-3,1012,-26,0,636
1,19,NK,262,FLL,ACY,1430,13,1700,11,0,977
11,22,DL,2706,GRR,MSP,730,-10,806,-30,0,408
9,22,AA,1754,DFW,PNS,830,0,1014,6,0,604
5,21,OH,5037,CLT,RDU,914,-8,1029,-20,0,130
4,19,UA,498,ORD,IAD,1330,-1,1620,-5,0,588
7,21,G4,46,LAS,GEG,625,14,833,25,0,806
4,19,EV,4450,TUL,IAH,859,-7,1045,-17,0,429
3,22,B6,406,FLL,EWR,2030,0,2328,-8,0,1065
4,23,YX,3615,MSP,EWR,1325,1069,1723,1124,0,1008
1,23,G4,1206,USA,SFB,1541,-10,1709,2,0,457
1,19,AA,231,DFW,RNO,1140,-5,1318,-31,0,1345
6,21,AA,1378,ORD,ABQ,1315,1,1516,-11,0,1118
6,19,AA,1214,SLC,DFW,600,-2,940,-11,0,989
12,21,OO,5311,IAH,BOI,1805,30,2110,14,0,1482
12,19,WN,3711,BNA,MCI,1715,-4,1855,-14,0,491
7,23,UA,1182,AUS,IAH,520,1,617,-2,0,140
7,19,WN,992,IND,TPA,2135,79,2350,57,0,837
11,19,AA,2520,DFW,ORD,1851,8,2119,-9,0,801
6,21,OO,3032,DFW,BIL,1900,-1,2058,-6,0,1081
5,22,YX,3593,MHT,EWR,600,-5,737,-31,0,209
10,22,AA,2720,DFW,TUS,826,-6,850,-13,0,813
10,20,9E,5047,RDU,DTW,1745,-5,1932,-11,0,501
1,19,DL,345,ATL,DAB,939,-4,1055,-11,0,366
12,20,OO,5327,SFO,BOI,1825,-2,2105,6,0,522
1,22,YX,3467,ORD,DCA,1935,,2241,,1,612
5,22,WN,4041,BWI,MHT,755,-5,915,-8,0,377
3,20,UA,1013,SFO,DEN,1252,-1,1629,-8,0,967
12,21,OO,5056,PRC,DEN,600,8,759,-10,0,557
7,23,B6,431,BOS,LGA,1400,-10,1521,-26,0,184
1,20,DL,1530,LAX,ATL,1030,5,1740,-12,0,1947
2,21,UA,440,SMF,DEN,530,-4,847,-8,0,909
4,23,WN,3355,MDW,SAT,2120,13,15,-10,0,1036
6,21,DL,1031,DTW,ATL,1330,2,1531,-3,0,594
4,19,MQ,3657,GRR,ORD,1414,-5,1420,-10,0,137
1,23,OO,5762,DEN,SLC,1720,5,1907,2,0,391
1,19,WN,397,SAT,DAL,1350,11,1455,0,0,248
5,19,YX,3604,MSY,EWR,1330,46,1740,29,0,1167
11,21,AS,444,SEA,LAX,930,1,1220,-24,0,954
2,21,NK,1673,CMH,MCO,745,-5,1005,6,0,802
8,20,OH,5437,SRQ,CLT,622,-3,813,-2,0,547
1,20,AS,779,STL,SEA,1940,-16,2215,-8,0,1709
2,19,WN,760,MDW,MHT,2120,43,25,31,0,838
11,19,F9,121,SJU,TPA,1857,-1,2110,-13,0,1237
2,19,WN,1721,SFO,SAN,1115,71,1250,74,0,447
2,20,B6,965,BOS,RSW,1544,-6,1920,29,0,1249
7,22,YX,4649,DCA,CHS,1346,-3,1529,-1,0,444
8,19,YV,5754,PHX,ELP,1231,-5,1448,-7,0,347
3,19,AA,1168,ORD,SAN,1320,-5,1545,-7,0,1723
4,23,B6,1248,TPA,LGA,1016,-9,1304,14,0,1010
7,20,DL,1710,SLC,MSP,1349,-3,1710,1,0,991
5,19,DL,1232,DCA,JFK,605,-5,720,-4,0,213
4,19,YX,4420,CMH,PHL,559,-2,735,-8,0,406
4,21,F9,607,IND,DEN,1319,-9,1418,-27,0,977
3,19,UA,530,IAH,SAT,2000,-5,2103,-12,0,191
9,19,9E,3338,LGA,PWM,1755,-10,1918,-18,0,269
6,21,AS,1014,SEA,ORD,1033,22,1642,17,0,1721
5,22,AA,2013,TUL,DFW,1431,-5,1554,-21,0,237
11,22,AA,229,PHL,SAN,1830,18,2123,0,0,2370
3,20,MQ,3620,GRK,DFW,1606,52,1705,85,0,134
4,20,WN,246,BNA,ATL,1055,,1300,,1,214
7,22,MQ,3831,DFW,SBP,1908,10,2033,1,0,1360
2,20,YX,4508,ILM,LGA,1102,-11,1250,-15,0,500
2,19,AA,59,LAX,KOA,820,7,1228,-27,0,2504
8,20,DL,1298,CMH,ATL,1050,-4,1220,-14,0,447
